"st_case","file_year","state","county","city","latitude","longitud","year","month","day","hour","minute","day_week","drunk_dr","fatals","func_sys","hit_run","land_use","lgt_cond","pave_typ","peds","persons","rail","rel_junc","rel_road","road_fnc","route","rur_urb","sch_bus","sp_limit","vehicles","weather","wrk_zone","typ_int","per_no","seat_pos","per_typ","race","age","sex","death_yr","death_mo","death_da","death_hr","death_mn","death_tm","doa","inj_sev","drinking","drugs","drugtest","location","man_rest","veh_no","n_mot_no","str_veh","make","mak_mod","mod_year","model","vin","ocupants","owner","deaths","vinmake","vinmodyr","vintype","body_typ","speedrel","bus_use","impacts","tire_sze","trav_sp","veh_man","vpavetyp","calc_acc_dt","calc_acc_tm","calc_death_dt","calc_death_tm","calc_int_flag","calc_speed_bucket","calc_fatal","reg_nm","st_abbr","st_nm","cnty_nm","cty_nm","day_week_desc","lgt_cond_desc","rel_junc_desc","road_fnc_desc","weather_desc","per_typ_desc","sex_desc","make_nm","model_name","body_typ_nm"
"       62668","        2016","           6","          59","        3420","   33.745225","-117.9042222","        2016","          10","          10","           5","          49","           2","           0","           1","           3","           .","           .","           3","           .","           1","           1","0000000","           1","           1","           .","           6","           2","           0","           .","           .","           1","           0","           1","           1","          11","           1","           0","         999","           9","        8888","          88","          88","          88","          88","        8888","           0","           0","           9","           9","           .","           0","           .","           1","           .","           0","          99","       99999","        9999","         999","999999999999","           .","           9","           0","","           .","","          99","           9","           0","           .","","         999","           .","           1","10OCT2016"," 5:49:00","        .","       .","0","           0","0","West","CA","CALIFORNIA","ORANGE","SANTA ANA","Monday","Dark but Lighted","Non-Junction (Non-Interchange)","","Clear/Cloudy (No Adverse Conditions)","Driver of a Motor Vehicle in Transport","Unknown","Unknown Make","Unknown (as to automobile, motored cycle, light truck or truck)","Unknown Body Type"
"       62668","        2016","           6","          59","        3420","   33.745225","-117.9042222","        2016","          10","          10","           5","          49","           2","           0","           1","           3","           .","           .","           3","           .","           1","           1","0000000","           1","           1","           .","           6","           2","           0","           .","           .","           1","           0","           1","           1","           0","           5","           1","          54","           1","        2016","          10","          10","           5","          49","         549","           7","           4","           0","           1","           .","          11","           .","           0","           .","           1","          99","       99999","        9999","         999","999999999999","           .","           9","           0","","           .","","          99","           9","           0","           .","","         999","           .","           1","10OCT2016"," 5:49:00","10OCT2016"," 5:49:00","0","           0","1","West","CA","CALIFORNIA","ORANGE","SANTA ANA","Monday","Dark but Lighted","Non-Junction (Non-Interchange)","","Clear/Cloudy (No Adverse Conditions)","Pedestrian","Male","Unknown Make","Unknown (as to automobile, motored cycle, light truck or truck)","Unknown Body Type"
"       62995","        2016","           6","           7","        2680"," 39.75267778","-121.6077528","        2016","          11","          18","          10","          42","           6","           0","           1","           3","           .","           .","           1","           .","           1","           1","0000000","           1","           1","           .","           6","           2","           0","           .","           .","           1","           0","           1","           1","          11","           1","           0","          96","           2","        8888","          88","          88","          88","          88","        8888","           0","           0","           0","           0","           .","           0","           .","           1","           .","           0","          49","       49040","        2002","          40","4T1BE32K42U5","           .","           2","           0","","           .","","           4","           0","           0","           .","","         998","           .","           1","18NOV2016","10:42:00","        .","       .","0","           0","0","West","CA","CALIFORNIA","BUTTE","PARADISE","Friday","Daylight","Non-Junction (Non-Interchange)","","Clear/Cloudy (No Adverse Conditions)","Driver of a Motor Vehicle in Transport","Female","Toyota","Camry","4-Door Sedan/Hardtop"
"       62995","        2016","           6","           7","        2680"," 39.75267778","-121.6077528","        2016","          11","          18","          10","          42","           6","           0","           1","           3","           .","           .","           1","           .","           1","           1","0000000","           1","           1","           .","           6","           2","           0","           .","           .","           1","           0","           1","           1","           0","           5","           1","          65","           1","        2016","          11","          22","           4","          30","         430","           0","           4","           9","           9","           .","          11","           .","           0","           .","           1","          49","       49040","        2002","          40","4T1BE32K42U5","           .","           2","           0","","           .","","           4","           0","           0","           .","","         998","           .","           1","18NOV2016","10:42:00","22NOV2016"," 4:30:00","0","           0","1","West","CA","CALIFORNIA","BUTTE","PARADISE","Friday","Daylight","Non-Junction (Non-Interchange)","","Clear/Cloudy (No Adverse Conditions)","Pedestrian","Male","Toyota","Camry","4-Door Sedan/Hardtop"
"       63231","        2016","           6","          65","        3070"," 33.93891111","-117.3978306","        2016","          10","          28","           9","          36","           6","           0","           1","           5","           .","           .","           1","           .","           0","           3","0000000","           8","           1","           .","           6","           2","           0","           .","           .","           1","           0","           1","           2","          13","           2","           0","          30","           1","        8888","          88","          88","          88","          88","        8888","           0","           2","           8","           8","           .","           0","           .","           1","           .","           0","          49","       49402","        2010","         402","2T3ZF4DV7AW0","           .","           1","           0","","           .","","          14","           0","           0","           .","","         998","           .","           2","28OCT2016"," 9:36:00","        .","       .","0","           0","0","West","CA","CALIFORNIA","RIVERSIDE","RIVERSIDE","Friday","Daylight","Driveway-Access Related","","Clear/Cloudy (No Adverse Conditions)","Passenger of a Motor Vehicle in Transport","Male","Toyota","RAV4","Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”)"
"       63231","        2016","           6","          65","        3070"," 33.93891111","-117.3978306","        2016","          10","          28","           9","          36","           6","           0","           1","           5","           .","           .","           1","           .","           0","           3","0000000","           8","           1","           .","           6","           2","           0","           .","           .","           1","           0","           1","           1","          11","           1","           0","          28","           2","        8888","          88","          88","          88","          88","        8888","           0","           2","           0","           8","           .","           0","           .","           1","           .","           0","          49","       49402","        2010","         402","2T3ZF4DV7AW0","           .","           1","           0","","           .","","          14","           0","           0","           .","","         998","           .","           2","28OCT2016"," 9:36:00","        .","       .","0","           0","0","West","CA","CALIFORNIA","RIVERSIDE","RIVERSIDE","Friday","Daylight","Driveway-Access Related","","Clear/Cloudy (No Adverse Conditions)","Driver of a Motor Vehicle in Transport","Female","Toyota","RAV4","Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”)"
"       63231","        2016","           6","          65","        3070"," 33.93891111","-117.3978306","        2016","          10","          28","           9","          36","           6","           0","           1","           5","           .","           .","           1","           .","           0","           3","0000000","           8","           1","           .","           6","           2","           0","           .","           .","           1","           0","           1","           1","          11","           1","           1","          35","           1","        2016","          10","          28","          10","           3","        1003","           0","           4","           0","           8","           .","           0","           .","           2","           .","           0","          76","       76704","        2015","         704","MH3RH06Y0FK0","           .","           1","           1","","           .","","          80","           3","           0","           .","","          65","           .","           2","28OCT2016"," 9:36:00","28OCT2016","10:03:00","0","           0","1","West","CA","CALIFORNIA","RIVERSIDE","RIVERSIDE","Friday","Daylight","Driveway-Access Related","","Clear/Cloudy (No Adverse Conditions)","Driver of a Motor Vehicle in Transport","Male","Yamaha","350-449cc","Two Wheel Motorcycle (excluding motor scooters)"
"       80036","        2016","           8","          69","           0"," 40.70391389","-104.9986806","        2016","           2","          29","          12","          45","           2","           0","           1","           5","           .","           .","           1","           .","           0","           2","0000000","           1","           1","           .","           3","           2","           0","           .","           .","          98","           0","           2","           1","          11","           1","           1","          31","           1","        2016","           3","          12","          18","           2","        1802","           0","           4","           0","           0","           .","           0","           .","           1","           .","           0","          48","       48038","        2003","          38","JF1GG65583G8","           .","           2","           1","","           .","","           6","           0","           0","           .","","          50","           .","           1","29FEB2016","12:45:00","12MAR2016","18:02:00","1","           0","1","West","CO","COLORADO","LARIMER","","Monday","Daylight","Non-Junction (Non-Interchange)","","","Driver of a Motor Vehicle in Transport","Male","Subaru","Impreza","Station Wagon (Excluding Van and Truck-Based)"
"       80036","        2016","           8","          69","           0"," 40.70391389","-104.9986806","        2016","           2","          29","          12","          45","           2","           0","           1","           5","           .","           .","           1","           .","           0","           2","0000000","           1","           1","           .","           3","           2","           0","           .","           .","          98","           0","           2","           1","          11","           1","           0","          42","           1","        8888","          88","          88","          88","          88","        8888","           0","           1","           0","           0","           .","           0","           .","           2","           .","           0","          85","       85881","        2000","         881","1XKWDB9X9YR8","           .","           3","           0","","           .","","          66","           0","           0","           .","","          25","           .","           2","29FEB2016","12:45:00","        .","       .","1","           0","0","West","CO","COLORADO","LARIMER","","Monday","Daylight","Non-Junction (Non-Interchange)","","","Driver of a Motor Vehicle in Transport","Male","Kenworth","Medium/Heavy - CBE","Truck/Tractor (Cab Only; or with Any Number of Trailing Units: Any Weight)"
"       80209","        2016","           8","          31","         600"," 39.74011111","  -104.92325","        2016","           6","          21","           0","          49","           3","           0","           1","           3","           .","           .","           3","           .","           1","           1","0000000","           1","           1","           .","           2","           2","           0","           .","           .","          98","           0","           1","           1","          11","           1","           0","          31","           1","        8888","          88","          88","          88","          88","        8888","           0","           0","           0","           0","           .","           0","           .","           1","           .","           0","          32","       32042","        2006","          42","WAUDL74F86N0","           .","           1","           0","","           .","","           6","           0","           0","           .","","          35","           .","           2","21JUN2016"," 0:49:00","        .","       .","0","           0","0","West","CO","COLORADO","DENVER","DENVER","Tuesday","Dark but Lighted","Non-Junction (Non-Interchange)","","","Driver of a Motor Vehicle in Transport","Male","Audi","A6","Station Wagon (Excluding Van and Truck-Based)"
